road_th: 0.0 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.393 | Road Precision: 0.341 | Road Recall: 0.998 | Averaged F score: 0.539
road_th: 0.1 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.840 | Road Precision: 0.809 | Road Recall: 0.994 | Averaged F score: 0.763
road_th: 0.2 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.888 | Road Precision: 0.866 | Road Recall: 0.990 | Averaged F score: 0.787
road_th: 0.3 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.925 | Road Precision: 0.912 | Road Recall: 0.984 | Averaged F score: 0.806
road_th: 0.4 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.955 | Road Precision: 0.950 | Road Recall: 0.976 | Averaged F score: 0.821
road_th: 0.5 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.972 | Road Precision: 0.977 | Road Recall: 0.954 | Averaged F score: 0.829
road_th: 0.6 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.974 | Road Precision: 0.990 | Road Recall: 0.916 | Averaged F score: 0.830
road_th: 0.7 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.968 | Road Precision: 0.996 | Road Recall: 0.871 | Averaged F score: 0.827
road_th: 0.8 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.956 | Road Precision: 0.997 | Road Recall: 0.821 | Averaged F score: 0.821
road_th: 0.9 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.937 | Road Precision: 0.998 | Road Recall: 0.754 | Averaged F score: 0.812
road_th: 1.0 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.756 | Road Precision: 0.998 | Road Recall: 0.383 | Averaged F score: 0.721
road_th: 0.5 | vehicle_th: 0.0 | Car F score: 0.204 | Car Precision: 0.049 | Car Recall: 0.974 | Road F score: 0.972 | Road Precision: 0.977 | Road Recall: 0.954 | Averaged F score: 0.588
road_th: 0.5 | vehicle_th: 0.1 | Car F score: 0.767 | Car Precision: 0.474 | Car Recall: 0.908 | Road F score: 0.972 | Road Precision: 0.977 | Road Recall: 0.954 | Averaged F score: 0.870
road_th: 0.5 | vehicle_th: 0.2 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.972 | Road Precision: 0.977 | Road Recall: 0.954 | Averaged F score: 0.880
road_th: 0.5 | vehicle_th: 0.3 | Car F score: 0.773 | Car Precision: 0.675 | Car Recall: 0.802 | Road F score: 0.972 | Road Precision: 0.977 | Road Recall: 0.954 | Averaged F score: 0.873
road_th: 0.5 | vehicle_th: 0.4 | Car F score: 0.738 | Car Precision: 0.745 | Car Recall: 0.736 | Road F score: 0.972 | Road Precision: 0.977 | Road Recall: 0.954 | Averaged F score: 0.855
road_th: 0.5 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.972 | Road Precision: 0.977 | Road Recall: 0.954 | Averaged F score: 0.829
road_th: 0.5 | vehicle_th: 0.6 | Car F score: 0.622 | Car Precision: 0.846 | Car Recall: 0.583 | Road F score: 0.972 | Road Precision: 0.977 | Road Recall: 0.954 | Averaged F score: 0.797
road_th: 0.5 | vehicle_th: 0.7 | Car F score: 0.548 | Car Precision: 0.881 | Car Recall: 0.501 | Road F score: 0.972 | Road Precision: 0.977 | Road Recall: 0.954 | Averaged F score: 0.760
road_th: 0.5 | vehicle_th: 0.8 | Car F score: 0.466 | Car Precision: 0.908 | Car Recall: 0.415 | Road F score: 0.972 | Road Precision: 0.977 | Road Recall: 0.954 | Averaged F score: 0.719
road_th: 0.5 | vehicle_th: 0.9 | Car F score: 0.373 | Car Precision: 0.925 | Car Recall: 0.325 | Road F score: 0.972 | Road Precision: 0.977 | Road Recall: 0.954 | Averaged F score: 0.673
road_th: 0.55 | vehicle_th: 0.10 | Car F score: 0.767 | Car Precision: 0.474 | Car Recall: 0.908 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.871
road_th: 0.55 | vehicle_th: 0.11 | Car F score: 0.772 | Car Precision: 0.488 | Car Recall: 0.903 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.873
road_th: 0.55 | vehicle_th: 0.12 | Car F score: 0.776 | Car Precision: 0.501 | Car Recall: 0.899 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.875
road_th: 0.55 | vehicle_th: 0.13 | Car F score: 0.779 | Car Precision: 0.513 | Car Recall: 0.895 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.877
road_th: 0.55 | vehicle_th: 0.14 | Car F score: 0.782 | Car Precision: 0.525 | Car Recall: 0.890 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.878
road_th: 0.55 | vehicle_th: 0.15 | Car F score: 0.784 | Car Precision: 0.536 | Car Recall: 0.886 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.879
